ParentTableSchemaName	ParentTableName	ParentKeyColumnName	ChildTableSchemaName	ChildTableName	ChildKeyColumnName	ChildKeyColumnIsNullable	KeyName	ForeignKeySql
dbo	Organization	OrganizationID	dbo	ReclamationAgreement	OrganizationID	True		alter table dbo.ReclamationAgreement add constraint FK_ReclamationAgreement_Organization_OrganizationID_TenantID foreign key (OrganizationID, TenantID) references dbo.Organization(OrganizationID, TenantID)
dbo	Organization	OrganizationID	dbo	ReclamationAgreementRequest	RecipientOrganizationID	True		alter table dbo.ReclamationAgreementRequest add constraint FK_ReclamationAgreementRequest_Organization_RecipientOrganizationID_TenantID foreign key (RecipientOrganizationID, TenantID) references dbo.Organization(OrganizationID, TenantID)
dbo	Person	PersonID	dbo	ReclamationAgreementRequest	CreatePersonID	False		alter table dbo.ReclamationAgreementRequest add constraint FK_ReclamationAgreementRequest_Person_CreatePersonID_TenantID foreign key (CreatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReclamationAgreementRequest	TechnicalRepresentativePersonID	True		alter table dbo.ReclamationAgreementRequest add constraint FK_ReclamationAgreementRequest_Person_TechnicalRepresentativePersonID_TenantID foreign key (TechnicalRepresentativePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReclamationAgreementRequest	UpdatePersonID	True		alter table dbo.ReclamationAgreementRequest add constraint FK_ReclamationAgreementRequest_Person_UpdatePersonID_TenantID foreign key (UpdatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReclamationAgreementRequestSubmissionNote	CreatePersonID	True		alter table dbo.ReclamationAgreementRequestSubmissionNote add constraint FK_ReclamationAgreementRequestSubmissionNote_Person_CreatePersonID_TenantID foreign key (CreatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReclamationAgreementRequestSubmissionNote	UpdatePersonID	True		alter table dbo.ReclamationAgreementRequestSubmissionNote add constraint FK_ReclamationAgreementRequestSubmissionNote_Person_UpdatePersonID_TenantID foreign key (UpdatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Project	ProjectID	dbo	ReclamationCostAuthorityProject	ProjectID	False		alter table dbo.ReclamationCostAuthorityProject add constraint FK_ReclamationCostAuthorityProject_Project_ProjectID_TenantID foreign key (ProjectID, TenantID) references dbo.Project(ProjectID, TenantID)
dbo	Person	PersonID	dbo	ReclamationDeliverable	PersonID	True		alter table dbo.ReclamationDeliverable add constraint FK_ReclamationDeliverable_Person_PersonID_TenantID foreign key (PersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReleaseNote	CreatePersonID	False		alter table dbo.ReleaseNote add constraint FK_ReleaseNote_Person_CreatePersonID_TenantID foreign key (CreatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
dbo	Person	PersonID	dbo	ReleaseNote	UpdatePersonID	True		alter table dbo.ReleaseNote add constraint FK_ReleaseNote_Person_UpdatePersonID_TenantID foreign key (UpdatePersonID, TenantID) references dbo.Person(PersonID, TenantID)
